Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-75.6524	-112.0074	36.35498	0.0305223	0.0297282	0.0117895	0.0115696	0.00426604	0.000914404	0.0115193	0.0102437	0.00878359	0.00689558	0.00249394	0.000797793	0.00188024	0.000705262	0.000243784	0.0119203	0.00358462	0.00395512	0.003744	0.0099495	0.00318288	0.000297461	0.0131334	0.00118427	0.00711101	0.00999149	0.005091	0.00818632	0.00915515	0.00775196	0.006219	0.000845439	0.0144034	0.0173462	0.0352875	0.05142259	1.948577	0.105862	0.334475	0.710575	1.40731	2.98976	9.44625	1.623736	37.89341	0.100174	0.0975678	0.038693	0.0379712	0.0140011	0.00300107	0.0378064	0.0336197	0.0288277	0.0226312	0.00818507	0.00261835	0.00617092	0.00231466	0.000800097	0.0391222	0.0117647	0.0129807	0.0122878	0.0326542	0.0104462	0.000976264	0.0431035	0.00388676	0.0233383	0.032792	0.0167086	0.0268674	0.0300471	0.0254419	0.0204107	0.00277472	0.0472718	0.05693	0.115813	0.974289	0.0257113	0.3046931
36	-70.02992	-111.7534	41.72343	0.0756608	0.119204	0.0107705	0.0685801	0.0320941	0.00134298	0.00890852	0.0208186	0.0128926	0.00159305	0.0139893	0.0176498	0.00255969	0.00178074	0.0100303	0.0102634	0.0133113	0.0164619	0.00735597	0.0147705	0.00734902	0.0019292	0.0630882	0.0174896	0.017723	0.00648406	0.0133298	0.0211578	0.00415966	0.00668903	0.00100595	0.0409777	0.00534358	0.0619361	0.0182077	0.7590423	1.240958	0.23999	0.498562	0.804811	1.24253	2.00577	4.16683	1.031932	1.634899	0.101299	0.159597	0.0144201	0.0918186	0.0429693	0.00179806	0.0119272	0.0278731	0.0172613	0.00213285	0.0187296	0.0236304	0.00342704	0.00238414	0.0134291	0.0137412	0.0178219	0.02204	0.00984856	0.0197754	0.00983925	0.00258291	0.0844657	0.023416	0.0237285	0.0086812	0.0178466	0.0283271	0.00556916	0.00895562	0.00134682	0.0548631	0.00715425	0.0829233	0.0243774	0.620479	0.379521	0.7469087
72	-76.99511	-117.927	40.93184	0.0147461	0.0294024	0.00878662	0.0339575	0.00424145	0.00177297	0.00513815	0.00333169	0.00196583	0.00696801	0.0427222	0.00799838	0.0158446	0.0232501	0.000291622	0.0105011	0.00591688	0.0246852	0.0180961	0.0104621	0.0236976	0.0253777	0.0206273	0.000802848	0.0146224	0.0164462	0.0222231	0.0397262	0.00918479	0.0230316	0.0148323	0.0139743	0.0110668	0.0175074	0.00105012	0.381024	1.618976	0.365198	0.611849	0.8579	1.16564	1.63439	2.73824	0.7283584	4.249013	0.0281281	0.0560847	0.0167604	0.0647735	0.00809052	0.00338192	0.00980096	0.00635516	0.0037498	0.0132914	0.0814921	0.0152568	0.0302234	0.0443493	0.000556266	0.0200308	0.0112864	0.0470867	0.0345182	0.0199562	0.0452029	0.0484077	0.0393463	0.00153142	0.027892	0.0313709	0.0423903	0.0757772	0.0175199	0.0439326	0.0282924	0.0266558	0.0211099	0.0333951	0.00200309	0.809488	0.190512	0.5242497
108	-80.31529	-122.4781	42.1628	0.00242279	0.0230747	0.0114708	0.00583144	0.000882606	0.0087633	0.00287272	0.005949	0.00516617	0.0140012	0.00786318	0.00167812	0.032057	0.00277001	0.0103195	0.00487777	0.00646128	0.025857	0.0180067	0.00284237	0.0030251	0.00356883	0.00876672	0.00248837	0.00904552	0.0123936	0.0135928	0.0147782	0.00200246	0.000772848	0.000700863	0.00124466	0.00578993	0.00139577	0.00180628	1.294117	0.7058826	0.106638	0.335668	0.711365	1.40575	2.97914	9.37755	1.618458	0.5454549	0.00882493	0.0840488	0.0417819	0.0212408	0.00321486	0.03192	0.0104638	0.021669	0.0188176	0.050999	0.0286413	0.00611248	0.116766	0.0100896	0.0375886	0.0177671	0.023535	0.0941833	0.0655886	0.0103532	0.0110188	0.0129993	0.0319325	0.00906379	0.032948	0.0451432	0.0495112	0.0538289	0.00729387	0.00281507	0.00255287	0.00453364	0.0210896	0.00508403	0.00657931	0.352941	0.647059	0.2745396
144	-67.1996	-109.9588	42.75916	0.0107477	0.0795109	0.00975967	0.0215633	0.0244242	0.000531996	0.000619935	0.00293021	0.00669788	0.02306	0.0175051	0.00569768	0.0278215	0.0140029	0.00362706	0.00131703	0.00644168	0.0415252	0.0378016	0.0033643	0.0382963	0.0426237	0.0296389	0.0472621	0.01503	0.0548465	0.0203309	0.0237512	0.0117358	0.00492549	0.000267618	0.00568201	0.012087	0.00602186	0.00440217	1.109692	0.8903077	0.338007	0.589191	0.84786	1.17944	1.69724	2.95852	0.7843041	0.8023015	0.0163874	0.121233	0.0148809	0.0328783	0.0372405	0.000811154	0.000945237	0.00446779	0.0102125	0.0351604	0.0266906	0.00868746	0.0424205	0.0213508	0.00553031	0.00200813	0.00982186	0.0633149	0.0576375	0.00512967	0.0583918	0.0649899	0.0451915	0.0720623	0.0229167	0.0836265	0.0309993	0.0362143	0.017894	0.00751006	0.000408047	0.00866356	0.0184294	0.00918174	0.00671215	0.445154	0.554846	0.6558515
180	-71.64119	-113.153	41.51181	0.149357	0.100129	0.0207873	0.0329802	0.0190108	0.0297186	0.00451724	0.032294	0.0303499	0.0118405	0.0392874	0.00542109	0.00550493	0.122069	0.0670395	0.0733112	0.00440541	0.263854	0.0091806	0.00142651	0.0223134	0.164966	0.0481176	0.0312908	0.0207079	0.162867	0.0492684	0.00445559	0.0272072	0.0115844	0.033195	0.0303785	0.0158709	0.00397673	0.150227	0.8047705	1.19523	0.840967	0.918998	0.973991	1.0267	1.08814	1.18911	0.1252375	1.485181	0.0830263	0.055661	0.0115555	0.0183335	0.0105679	0.0165203	0.0025111	0.017952	0.0168713	0.00658202	0.0218395	0.00301354	0.00306015	0.0678571	0.0372667	0.0407531	0.00244893	0.146674	0.00510342	0.000792984	0.0124038	0.0917032	0.0267482	0.0173943	0.0115113	0.0905363	0.0273879	0.00247683	0.0151243	0.00643968	0.0184528	0.0168872	0.0088225	0.00221063	0.0835102	0.597615	0.402385	1.79891
216	-68.35198	-110.6588	42.30679	0.0558063	0.0166992	0.036519	0.059322	0.00787682	0.0165405	0.00169182	0.00652701	0.00373623	0.00762672	0.00112812	0.000758446	0.000944831	0.0041458	0.0110877	0.0145329	0.0112109	0.0396041	0.0468357	0.0191144	0.00335503	0.0520411	0.0317618	0.0100051	0.00279455	0.0358705	0.00749489	0.00635417	0.00994041	0.0120313	0.00712364	0.0470242	0.0129513	0.00310092	0.0228047	0.9769404	1.02306	0.254652	0.513191	0.812105	1.23137	1.94859	3.92692	0.9890544	1.047208	0.0890959	0.0266606	0.0583033	0.0947087	0.0125755	0.0264073	0.00270103	0.0104205	0.00596496	0.0121762	0.00180107	0.00121088	0.00150844	0.00661885	0.0177018	0.0232021	0.0178984	0.0632288	0.0747742	0.0305165	0.00535637	0.0830847	0.0507084	0.0159734	0.00446156	0.057268	0.0119657	0.0101446	0.0158701	0.0192082	0.011373	0.0750751	0.020677	0.00495069	0.0364081	0.51153	0.48847	0.6263622
252	-71.78239	-114.2133	42.43087	0.0170442	0.0980975	0.0218629	0.0160717	0.0121164	0.0106047	0.00631877	0.035214	0.0416843	0.0100441	0.00341895	0.00735651	0.000724685	0.000461375	0.00425511	0.00999004	0.00150388	0.0189008	0.0164625	0.0190227	0.0391297	0.0171337	0.0285943	0.00192903	0.00140359	0.014552	0.0149433	0.0473408	0.0212395	0.00366352	0.0280405	0.0497248	0.0246347	0.00475007	0.0308855	1.026818	0.9731819	0.272524	0.530452	0.82053	1.21872	1.88519	3.6694	0.940009	0.9477647	0.0250975	0.144448	0.032193	0.0236654	0.0178413	0.0156153	0.00930435	0.0518523	0.0613799	0.0147899	0.00503439	0.0108324	0.00106709	0.000679372	0.00626562	0.0147103	0.00221445	0.0278313	0.0242409	0.0280108	0.0576183	0.0252293	0.042105	0.00284049	0.00206677	0.0214277	0.0220039	0.069709	0.031275	0.00539451	0.0412895	0.0732195	0.0362744	0.00699445	0.0454787	0.486591	0.513409	0.6791201
288	-70.80225	-114.1413	43.33904	0.0297231	0.0499006	0.0323635	0.0651445	0.00641937	0.000970872	0.0115478	0.000814209	0.00545801	0.00347775	0.00943423	0.00692254	7.6779e-05	0.0488522	0.00108799	0.00321039	0.00696163	0.0158706	0.0112107	0.0864667	0.0192745	0.019272	0.00405653	0.0112883	0.00921127	0.00632175	0.00654438	0.0144468	0.00785443	0.00129188	0.01035	0.0155467	0.0106216	0.0151257	0.00387705	1.25208	0.7479196	0.495452	0.709989	0.898655	1.11277	1.40847	2.01836	0.5078006	0.5973415	0.0539443	0.0905642	0.0587363	0.11823	0.0116505	0.00176203	0.0209581	0.0014777	0.00990572	0.00631174	0.0171221	0.0125637	0.000139346	0.0886615	0.00197459	0.00582652	0.0126346	0.0288035	0.0203462	0.156928	0.0349812	0.0349767	0.00736218	0.020487	0.0167175	0.0114733	0.0118774	0.0262194	0.014255	0.00234463	0.0187842	0.0282156	0.0192771	0.0274515	0.00703643	0.37396	0.62604	0.5509962
324	-72.51915	-113.7343	41.21517	0.149734	0.055	0.0255606	0.0300292	0.012851	0.00399004	0.0418799	0.000231584	0.00651819	0.0364364	0.0840985	0.0611598	0.00183194	0.0153265	0.00174064	0.00338119	0.0163287	0.000853801	0.110678	0.126272	0.0672627	0.0340161	0.00709743	0.0216955	0.00347441	0.00422899	0.0360022	0.0430321	0.0204569	0.0140867	0.0279717	0.0184304	0.0738386	0.0641282	0.00744137	0.4594884	1.540512	0.752697	0.870617	0.957695	1.04417	1.14861	1.32856	0.2054186	3.352667	0.122026	0.0448224	0.0208307	0.0244724	0.010473	0.0032517	0.0341301	0.00018873	0.00531202	0.029694	0.0685364	0.0498424	0.00149294	0.0124904	0.00141854	0.00275551	0.0133071	0.000695808	0.0901971	0.102905	0.0548159	0.0277215	0.00578407	0.0176808	0.00283148	0.00344643	0.0293401	0.0350692	0.0166714	0.01148	0.0227957	0.0150199	0.060175	0.0522615	0.00606437	0.770256	0.229744	1.227064
