Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	stationaryDist[1]	stationaryDist[2]	tree_length
360	-76.78519	-117.8241	41.03886	0.0187172	0.0689536	0.0111564	0.00980079	0.0247781	0.00209091	0.0108288	0.00474698	0.00382235	0.0366294	0.00262766	0.00802018	0.00491799	0.010033	0.0220186	0.0171353	0.0128812	0.00674668	0.00681435	0.0377969	0.0175852	0.0115072	0.0338112	0.00211438	0.00419931	0.0371811	0.00621703	0.00746638	0.015201	0.00935071	0.0178267	0.0197017	0.0198978	0.00914838	0.0100218	0.4058087	1.594191	0.366785	0.613144	0.858466	1.16487	1.63094	2.7264	0.7252241	3.928431	0.0345498	0.12728	0.0205935	0.0180911	0.0457374	0.00385957	0.0199886	0.00876237	0.0070556	0.0676136	0.00485035	0.0148043	0.00907804	0.0185197	0.0406437	0.0316298	0.0237773	0.0124536	0.0125785	0.0697687	0.0324601	0.021241	0.0624115	0.00390291	0.00775143	0.068632	0.0114759	0.0137821	0.0280592	0.0172603	0.032906	0.036367	0.036729	0.0168868	0.018499	0.797096	0.202904	0.5417461
396	-78.50848	-120.3292	41.82071	0.123956	0.0651781	0.00920962	0.00423491	0.0161766	0.0214175	0.057232	0.0243491	0.00830551	0.00354225	0.00559796	0.00647433	0.0267625	0.0141384	0.0796875	0.00146288	0.00902311	0.0602887	0.0310916	0.0260878	0.00139605	0.0161731	0.039252	0.0143665	0.0312142	0.0334437	0.0134032	0.000608131	0.0270548	0.0327462	0.0452077	0.0483424	0.00513315	0.0726583	0.0139837	0.7394604	1.26054	0.388369	0.630483	0.865968	1.15478	1.58609	2.57487	0.6838785	1.704675	0.12531	0.0658897	0.00931018	0.00428115	0.0163532	0.0216514	0.0578569	0.0246149	0.0083962	0.00358093	0.00565908	0.00654502	0.0270547	0.0142927	0.0805575	0.00147885	0.00912162	0.060947	0.0314311	0.0263727	0.0014113	0.0163497	0.0396806	0.0145234	0.031555	0.0338088	0.0135495	0.000614771	0.0273502	0.0331037	0.0457013	0.0488702	0.00518919	0.0734516	0.0141364	0.63027	0.36973	0.9891997
432	-69.76937	-112.7378	42.96847	0.0221521	0.0124268	0.0613798	0.000221134	0.00879786	0.0321474	0.057039	0.0390693	0.0261641	0.0010091	0.010061	0.0367376	0.00534483	0.0225511	0.00796634	0.0037972	0.0048118	0.0274989	0.0493536	0.048161	0.0204745	0.0248087	0.0548504	0.00144605	0.0047023	0.00255666	0.00488896	0.00162588	0.0550369	0.0437185	0.0252658	0.0441856	0.031335	0.0825742	0.00117569	1.031723	0.9682774	0.685096	0.831564	0.94408	1.05923	1.20255	1.45965	0.2734615	0.9385055	0.025307	0.0141967	0.0701215	0.000252628	0.0100509	0.0367258	0.0651625	0.0446335	0.0298904	0.00115281	0.0114939	0.0419697	0.00610604	0.0257628	0.00910091	0.00433799	0.00549709	0.0314153	0.0563825	0.0550201	0.0233905	0.0283419	0.0626622	0.001652	0.005372	0.00292078	0.00558525	0.00185743	0.0628753	0.0499449	0.0288641	0.0504785	0.0357977	0.0943344	0.00134313	0.484139	0.515861	0.8753351
468	-73.78264	-115.1773	41.39463	0.0192246	0.013373	0.00822108	0.000696627	0.0257397	0.028814	0.0380475	0.0071643	0.0285524	0.00202288	0.000272292	0.00876736	0.00579699	0.0255129	0.00611581	0.000322635	0.00127014	0.0165942	0.0132161	0.0143654	0.0395392	0.0152389	0.0293622	0.00240405	0.0173456	0.00645682	0.011287	0.00084086	0.0114048	0.00867739	0.00179783	0.0424153	0.01188	0.0300204	0.0102979	0.3949315	1.605069	0.636199	0.802069	0.933503	1.07123	1.24678	1.57184	0.3270037	4.06417	0.0382155	0.0265833	0.0163422	0.00138478	0.0511665	0.0572777	0.0756323	0.0142415	0.0567576	0.00402117	0.000541273	0.0174281	0.0115235	0.0507156	0.0121573	0.000641348	0.00252483	0.0329866	0.0262715	0.0285562	0.0785977	0.0302925	0.0583675	0.00477887	0.0344803	0.0128351	0.0224368	0.0016715	0.0226709	0.0172493	0.0035738	0.0843149	0.0236156	0.0596758	0.0204706	0.802534	0.197466	0.503058
504	-78.60736	-120.133	41.52563	0.0343258	0.0170148	0.0466721	0.0363512	0.00991806	0.00048298	0.0219109	0.0127198	0.035937	0.0118251	0.0169186	0.0381488	0.0146697	0.00900208	0.00742735	0.00436688	0.00367209	0.0314474	0.0112157	0.00325976	0.0256977	0.00819681	0.0285259	0.0147052	0.0040091	0.0101278	0.0225935	0.00818654	0.00715455	0.0270293	0.0629786	0.0106754	0.0122396	0.0348104	0.0337829	0.6483085	1.351692	0.254206	0.512752	0.811889	1.2317	1.95026	3.93382	0.9903223	2.084951	0.0506281	0.0250956	0.0688379	0.0536154	0.0146284	0.000712361	0.0323169	0.0187608	0.0530044	0.0174412	0.0249537	0.0562667	0.0216367	0.0132774	0.0109548	0.00644082	0.00541606	0.0463827	0.0165423	0.0048079	0.0379023	0.0120897	0.0420737	0.0216892	0.00591313	0.0149377	0.0333238	0.0120745	0.0105524	0.0398663	0.0928888	0.0157455	0.0180525	0.0513428	0.0498273	0.675846	0.324154	0.6779995
540	-76.05225	-117.8763	41.82405	0.00787731	0.0410836	0.0203356	0.0271029	0.00374142	0.00110947	0.00736962	0.00822931	0.00572787	0.0259309	0.00165809	0.00780948	0.0105667	0.00173083	0.00132338	0.0057169	0.00789261	0.0210356	0.0137838	0.010619	0.0166858	0.00185076	0.00751126	0.00559705	0.00790317	0.0067498	0.00306645	0.00162828	0.0127969	0.00783784	0.00564348	0.00545863	0.00612591	0.0166696	0.0159949	0.8651013	1.134899	0.187582	0.442114	0.775199	1.28999	2.26186	5.33099	1.210082	1.311868	0.0223683	0.11666	0.0577448	0.076961	0.0106241	0.00315043	0.0209267	0.0233678	0.0162648	0.0736331	0.00470828	0.0221757	0.030005	0.00491483	0.00375785	0.0162336	0.0224117	0.0597324	0.0391401	0.0301537	0.0473806	0.00525538	0.0213289	0.0158933	0.0224417	0.0191666	0.00870744	0.00462362	0.0363377	0.0222562	0.0160251	0.0155002	0.017395	0.0473347	0.045419	0.567449	0.432551	0.3521643
576	-75.94157	-119.0947	43.15313	0.0017985	0.0215625	0.0043986	0.0106904	0.0143725	0.000613891	0.0218062	0.0207858	0.0725126	0.00463153	0.0362786	0.00343933	0.00354478	0.00661425	0.00388561	0.00294249	0.0143786	0.00860067	0.0382634	0.00183303	0.0249167	0.00789696	0.0439315	0.0339288	0.0468338	0.00865631	0.062345	0.0129444	0.00615229	0.00426184	0.0174301	0.00805192	0.0212732	0.00602699	0.0706657	1.290466	0.7095341	0.367671	0.613866	0.858782	1.16444	1.62902	2.71982	0.7234784	0.5498278	0.00269128	0.0322663	0.00658208	0.0159972	0.0215071	0.000918629	0.0326309	0.0311039	0.108508	0.00693063	0.0542874	0.00514662	0.00530443	0.00989759	0.00581444	0.00440315	0.0215162	0.0128701	0.0572575	0.00274295	0.0372854	0.011817	0.0657392	0.0507712	0.0700823	0.0129533	0.0932933	0.0193701	0.00920631	0.00637743	0.0260825	0.0120489	0.0318332	0.00901881	0.105744	0.354767	0.645233	0.668269
612	-69.8495	-111.8152	41.9657	0.022793	0.0861897	0.0105303	0.0330071	0.0225554	0.0138958	0.0247494	0.0155706	0.0147985	0.00340495	0.0482773	0.00727356	0.00391057	0.0331256	0.0051959	0.00188391	0.0392088	0.041933	0.0488013	0.0450096	0.0133783	0.035493	0.0434403	0.00560158	0.0511302	0.0621982	0.129707	0.0286606	1.45077e-05	0.00299303	0.00211633	0.019538	0.0647497	0.0246615	0.077758	0.7561773	1.243823	0.513741	0.722652	0.903626	1.10665	1.38379	1.94651	0.4815897	1.644882	0.0210354	0.0795435	0.00971827	0.0304619	0.0208161	0.0128243	0.0228409	0.01437	0.0136573	0.00314239	0.0445546	0.00671268	0.00360902	0.0305712	0.00479524	0.00173864	0.0361854	0.0386995	0.0450381	0.0415388	0.0123467	0.0327561	0.0400905	0.00516963	0.0471874	0.057402	0.119705	0.0264505	1.3389e-05	0.00276223	0.00195314	0.0180314	0.0597568	0.0227598	0.0717619	0.621911	0.378089	1.083555
648	-72.74708	-115.0252	42.27813	0.0219955	0.223537	0.0185876	0.0269499	0.0553712	0.0140979	0.00494693	0.00322182	0.0130717	0.00104133	0.0111622	0.0160345	0.00210799	0.0173338	0.00591042	0.00215004	0.00502388	0.0220842	0.036063	0.0239815	0.0350473	0.00542487	0.0267473	0.00224444	0.0209247	0.0260186	0.0560095	0.0175728	0.0456334	0.00842256	0.0249194	0.0716113	0.0545286	0.00800437	0.0151337	0.8998371	1.100163	0.416107	0.652057	0.875106	1.14272	1.53361	2.40323	0.6339956	1.222625	0.0233271	0.23707	0.0197129	0.0285814	0.0587234	0.0149514	0.00524642	0.00341687	0.013863	0.00110437	0.011838	0.0170052	0.00223561	0.0183832	0.00626824	0.0022802	0.00532803	0.0234212	0.0382462	0.0254334	0.037169	0.00575329	0.0283666	0.00238032	0.0221915	0.0275938	0.0594004	0.0186367	0.0483961	0.00893246	0.0264281	0.0759467	0.0578298	0.00848896	0.0160499	0.550081	0.449919	0.9429155
684	-72.80371	-116.0692	43.26552	0.0233755	0.0624686	0.0167047	0.0426497	0.0255805	0.028518	0.0439998	0.0101976	0.00573759	0.000302425	0.00402171	0.00288747	0.00394689	0.0180342	0.0498272	0.00556925	0.0277939	0.0251426	0.0227002	0.0063939	0.0139883	0.0130024	0.00869067	0.00249851	0.0179007	0.0169624	0.0226058	0.00516263	0.009953	0.029213	0.000342834	0.0162777	0.00337297	0.00319346	0.0232442	1.325289	0.6747106	0.379659	0.623547	0.862984	1.15877	1.60373	2.63394	0.7002788	0.5091044	0.038179	0.102029	0.0272837	0.0696594	0.0417804	0.0465783	0.0718645	0.0166556	0.00937115	0.000493949	0.00656863	0.00471608	0.00644642	0.0294551	0.0813824	0.00909621	0.0453955	0.0410653	0.0370761	0.0104431	0.0228469	0.0212368	0.0141944	0.00408079	0.029237	0.0277045	0.0369218	0.00843209	0.0162562	0.0477134	0.000559948	0.0265862	0.00550905	0.00521586	0.0379646	0.337355	0.662645	0.6122602
